Order_No,Time_from_Pickup_to_Arrival
Order_No_11407,1341.4510334584265
Order_No_1110,1239.5715820664554
Order_No_970,3401.3310373739077
Order_No_15949,1998.7165084313092
Order_No_16950,3386.345134060248
Order_No_21407,2029.5688584780437
Order_No_10402,2325.6703014947925
Order_No_26428,3930.5089920596
Order_No_6378,899.171119478422
Order_No_3191,1500.4323197290214
Order_No_14115,764.1546086812014
Order_No_24864,1497.6517768650665
Order_No_23596,2244.147929823186
Order_No_21033,768.8408992674522
Order_No_19430,1048.2665086541383
Order_No_8083,2410.459511717061
Order_No_3630,2245.3510483715945
Order_No_27268,1779.6957548787977
Order_No_5308,2688.2078757858835
Order_No_23824,1340.4421672132376
Order_No_274,1028.8309882547983
Order_No_2563,819.1901724670533
Order_No_21502,1639.8011688847982
Order_No_14140,1147.096444209601
Order_No_24221,872.712934757772
Order_No_15045,822.1622195365053
Order_No_576,1033.0063944305293
Order_No_11619,1682.4720328261828
Order_No_13865,708.6451025467686
Order_No_12570,1312.436541470306
Order_No_14056,1126.3764850443113
Order_No_20302,1142.2300044245858
Order_No_17479,1443.5704213637655
Order_No_5602,944.0785132518795
Order_No_13794,934.0488454260412
Order_No_250,1774.429826327454
Order_No_23262,1652.0408100802888
Order_No_23549,1249.117804116111
Order_No_18292,2061.261920771183
Order_No_9939,1155.3820740042138
Order_No_23661,2929.548344682611
Order_No_15130,1175.28599554237
Order_No_17994,1272.0421759834207
Order_No_18043,1867.3257130900456
Order_No_27170,1102.8651579750003
Order_No_8074,1336.351250317799
Order_No_17060,1362.5893703399415
Order_No_23593,1547.585975314818
Order_No_18736,1116.776900928453
Order_No_23050,1630.86703601286
Order_No_299,2206.3216697353564
Order_No_22500,1023.3105448261631
Order_No_17290,1010.2988101980372
Order_No_2099,1779.3368707390764
Order_No_19190,1525.076923747154
Order_No_9074,2215.907658956996
Order_No_9597,924.3447911833427
Order_No_18619,1355.859076271321
Order_No_20781,1548.4642636920908
Order_No_107,1998.6563998789352
Order_No_23972,1276.5545287618806
Order_No_12706,1541.1358022911736
Order_No_4264,1326.02571530782
Order_No_20958,1313.5811305820753
Order_No_14883,1690.5024395432993
Order_No_15289,2107.4594178745247
Order_No_14815,1109.9340946075754
Order_No_24361,2495.8506444036248
Order_No_25351,1248.5615307783155
Order_No_20336,1299.5283109661468
Order_No_25736,1344.0197578390216
Order_No_19213,946.0942247374405
Order_No_20246,1579.2737309936274
Order_No_6107,1133.4449296903622
Order_No_28128,2662.905181117123
Order_No_5521,1309.0768716789898
Order_No_3668,1593.4326914532212
Order_No_3211,1771.6673158438352
Order_No_4170,1356.6006356623911
Order_No_4003,1784.3423960220243
Order_No_12930,1206.9488907705309
Order_No_3720,1462.060393731408
Order_No_19670,1758.996004478504
Order_No_2262,2121.7631195952636
Order_No_18194,2239.432781214062
Order_No_17823,713.1150338562511
Order_No_4050,1645.8321155223457
Order_No_13024,1764.7730103586
Order_No_12696,950.2572996434246
Order_No_9498,3353.315882038958
Order_No_2349,1242.0555389889487
Order_No_2663,911.3618598636385
Order_No_16093,1506.0222251802406
Order_No_18081,1496.929506916189
Order_No_11657,976.0497280021737
Order_No_24803,1344.5051035799697
Order_No_18870,1370.731211094586
Order_No_6669,1534.3366477496238
Order_No_14880,2284.2115060356227
Order_No_4740,1772.0560460527631
Order_No_14491,1187.185835977085
Order_No_11653,1004.1789779768878
Order_No_20214,799.1271289170109
Order_No_20680,981.6710546463655
Order_No_18137,1339.3611832891183
Order_No_13688,771.7932817560941
Order_No_1520,1514.0710637198426
Order_No_606,2599.6375961079175
Order_No_14936,2456.1072223022784
Order_No_4414,2434.758171367939
Order_No_17334,2293.9273719566336
Order_No_21387,1005.2129433330483
Order_No_8423,2365.4183611561675
Order_No_14770,1325.7377411380658
Order_No_25130,1310.8201079138962
Order_No_18324,1095.1586764590247
Order_No_3690,2112.805510165148
Order_No_4332,1235.1223377897186
Order_No_27050,3942.7825721225527
Order_No_19837,1274.665807058096
Order_No_7135,2316.535438834144
Order_No_20578,1668.2647869094508
Order_No_9244,1228.9888720539238
Order_No_9917,1324.9717221688697
Order_No_9016,1601.5943265579408
Order_No_15479,1559.0404081519955
Order_No_15703,1035.671321488975
Order_No_15338,1174.1450263691368
Order_No_2649,997.3167612632969
Order_No_27174,1205.1404637513842
Order_No_7201,1537.438977762933
Order_No_26729,2180.156517467818
Order_No_25641,3507.554710606135
Order_No_20147,887.518828371758
Order_No_556,1423.9174491584272
Order_No_26077,940.5826333002988
Order_No_27205,2181.5597019281777
Order_No_3032,1662.445930068352
Order_No_6313,1220.6899325204067
Order_No_3158,1282.3914318780808
Order_No_20844,830.2498198120447
Order_No_19228,1045.8807510804982
Order_No_27012,2286.437731535334
Order_No_1552,1507.6273279758752
Order_No_1755,4303.027553340464
Order_No_26214,1103.641134981517
